"","continent","new_cases_smoothed_per_million","new_deaths_smoothed_per_million","people_fully_vaccinated_per_hundred","stringency_index","population_density","aged_65_older","cardiovasc_death_rate","diabetes_prevalence","life_expectancy","human_development_index","is_island","month"
"1","Asia",6.778,0.495,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"2","Asia",6.873,0.51,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"3","Asia",7.545,0.411,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"4","Asia",7.281,0.506,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"5","Asia",7.163,0.587,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"6","Asia",6.851,0.624,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"7","Asia",6.451,0.583,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"8","Asia",6.921,0.55,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"9","Asia",6.862,0.558,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"10","Asia",6.217,0.617,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"11","Asia",5.505,0.536,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"12","Asia",5.193,0.514,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"13","Asia",4.976,0.521,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"14","Asia",5.138,0.576,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"15","Asia",4.264,0.58,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"16","Asia",3.798,0.646,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"17","Asia",3.387,0.624,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"18","Asia",3.714,0.628,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"19","Asia",3.295,0.532,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"20","Asia",3.211,0.455,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"21","Asia",2.69,0.352,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"22","Asia",3.149,0.352,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"23","Asia",2.785,0.286,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"24","Asia",2.741,0.305,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"25","Asia",2.789,0.316,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"26","Asia",2.763,0.308,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"27","Asia",2.738,0.297,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"28","Asia",2.253,0.257,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"29","Asia",2.521,0.209,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","7"
"30","Asia",2.473,0.132,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"31","Asia",2.033,0.092,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"32","Asia",1.776,0.07,0,78.7,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"33","Asia",1.523,0.066,0,75,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"34","Asia",1.31,0.084,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"35","Asia",1.453,0.066,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"36","Asia",1.251,0.095,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"37","Asia",1.27,0.11,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"38","Asia",1.402,0.128,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"39","Asia",1.527,0.143,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"40","Asia",1.787,0.206,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"41","Asia",1.894,0.22,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"42","Asia",1.813,0.235,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"43","Asia",1.802,0.22,0,71.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"44","Asia",1.82,0.206,0,60.19,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"45","Asia",1.861,0.202,0,60.19,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"46","Asia",1.886,0.18,0,60.19,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"47","Asia",1.651,0.132,0,48.15,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"48","Asia",1.519,0.103,0,48.15,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"49","Asia",1.578,0.077,0,48.15,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"50","Asia",1.424,0.059,0,48.15,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"51","Asia",1.475,0.055,0,48.15,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"52","Asia",1.468,0.044,0,48.15,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"53","Asia",1.387,0.044,0,48.15,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"54","Asia",1.295,0.066,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"55","Asia",0.98,0.059,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"56","Asia",0.899,0.062,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"57","Asia",0.694,0.062,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"58","Asia",0.606,0.055,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"59","Asia",0.418,0.048,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","8"
"60","Asia",0.484,0.033,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","9"
"61","Asia",0.514,0.029,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","9"
"62","Asia",0.62,0.029,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","9"
"63","Asia",0.639,0.026,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","9"
"64","Asia",0.701,0.026,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","9"
"65","Asia",0.892,0.037,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","9"
"66","Asia",1.229,0.048,0,21.3,54.422,2.581,597.029,9.59,64.83,0.511,"no","9"
